S NO,INSTITUTE  ID,NAME OF THE INSTITUTE,CITY,SCORE,TLR /100,,,,TOTAL/100,RP /100,,,,TOTAL/100,GO /100,,,,TOTAL/100,OI/100,,,,TOTAL/100,PR/100,RANK
,,,,,SS/20,FSR/30,FQE/20,FRU/30,,PU/35,QP/40,IPR/15,FPPP/10,,GPH/40,GUE/15,MS/25,GPHD/20,,RD/30,WD/30,ESCS/20,PCS/20,,,
1,IR-E-U-0456,Indian Institute of Technology Madras,Chennai,90.04,18.5,30,17.5,28.61,94.61,35,37.68,15,9.98,97.66,27.78,14.88,20.56,17.2,80.42,21.6,13.34,7.91,20,62.85,100,1
2,IR-E-I-1074,"Indian Institute of Technology, Delhi",New Delhi,88.12,18.5,26.54,17.31,24.59,86.94,34.5,39.78,15,6.73,96.01,32.14,13.6,21.57,16.11,83.42,23.7,16.91,7.95,20,68.56,96.92,2
3,IR-E-U-0306,"Indian Institute of Technology, Bombay",Mumbai,83.96,18.5,30,18.24,20.79,87.53,32.31,35.95,15,7.56,90.82,30.35,14.18,19.74,14.92,79.19,18.74,14.06,4.57,20,57.37,88.7,3
4,IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,82.56,18.5,26.64,18.11,24.7,87.95,29.18,31.34,12,7.46,79.98,36.47,15,22,16.23,89.7,21.64,9.96,7.87,20,59.47,83.01,4
5,IR-E-U-0573,"Indian Institute of Technology, Kharagpur",Kharagpur,78.89,19.31,25.19,16.89,17.82,79.21,32.13,39.11,10,3.36,84.6,25.93,14.1,20.88,20,80.91,21.09,11.89,5.1,15,53.08,82.63,5
6,IR-E-U-0560,"Indian Institute of Technology, Roorkee",Roorkee,76.7,18.23,23.74,15.34,18.67,75.98,30.82,35.44,7,4.85,78.11,37.3,15,21.57,16.26,90.13,24.44,11.95,6.7,20,63.09,61.36,6
7,IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,72.98,16.45,26.34,14.75,18.35,75.89,29.91,32.51,5,5.47,72.89,31.6,15,22.1,15.94,84.64,23.51,11.49,1.9,20,56.9,57.15,7
8,IR-E-U-0467,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,69.17,17.5,24.32,16.49,18.08,76.39,25.02,26.73,4,2.69,58.44,35.44,15,17.38,11.35,79.17,16.69,20.5,7.29,20,64.48,64.38,8
9,IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,68.03,11.28,30,17.95,21.08,80.31,23.62,23.65,7,5.62,59.89,29.48,15,20.89,7.03,72.4,16.82,14.97,3.06,20,54.85,59.96,9
10,IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",Surathkal,66.04,16,23.63,15.01,18.22,72.86,23.82,23.56,6,3.04,56.42,34.51,15,16.68,11.51,77.7,16.78,16.72,10.39,20,63.89,53.24,10
11,IR-E-U-0575,Jadavpur University,Kolkata,65.68,15.96,26.43,17.02,11.97,71.38,28.43,29.76,3,3.23,64.42,34.44,15,16.58,12.1,78.12,6.15,18.04,8.15,20,52.34,40.97,11
12,IR-E-U-0490,Vellore Institute of Technology,Vellore,65.53,18.6,21.37,14.18,8.39,62.54,27.15,36.93,9,0.22,73.3,26.62,15,13.42,14.41,69.45,18.14,21.01,0.12,20,59.27,49.6,12
13,IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,63.51,17.49,17.57,12.31,15.25,62.62,22.59,27.26,5,2.41,57.26,35.57,15,20.45,10.7,81.72,17.31,9.86,8.89,20,56.06,55.89,13
14,IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,63.5,14.65,22.29,15.05,16.71,68.7,28.31,31.19,3,2.87,65.37,30.04,13.89,17.41,9.83,71.17,18.67,7.95,7.73,20,54.35,36.23,14
15,IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,62.36,18.5,24.68,16.9,13.31,73.39,26.08,28.84,3,1.53,59.45,30.85,15,14.19,11.76,71.8,15.66,14.96,6.46,20,57.08,24.43,15
16,IR-E-U-0273,Indian Institute of Technology Indore, Indore,61.68,10.09,30,16.88,19.31,76.28,24.68,26.37,2,3.7,56.75,25.31,15,20.53,9.54,70.38,17.76,11.56,3.16,20,52.48,24.43,16
17,IR-E-U-0439,Anna University,Chennai,61.41,17.21,23.28,13.15,10.69,64.33,24.56,30.87,7,2.16,64.59,19.65,14.62,12.12,11.41,57.8,0.65,24.7,3.52,20,48.87,62.83,17
18,IR-E-U-0308,Institute of Chemical Technology,Mumbai,61.4,10.29,27.14,17.87,21.15,76.45,18.24,20.92,13,4.82,56.98,30.8,15,13.34,10.39,69.53,7.28,24.59,2.71,20,54.58,19.95,18
19,IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,60.92,17,27.13,14.76,10.08,68.97,26.4,22.8,8,1.44,58.64,32.7,15,10.87,2.83,61.4,18.46,22.02,1.258,20,61.738,41.78,19
20,IR-E-U-0184,"Indian Institute of Technology, Mandi",Mandi,60.43,9.33,27.54,18.54,20.36,75.77,18.75,18.3,4,3,44.05,35.96,14.55,20.43,6.61,77.55,21.11,19.14,6.91,20,67.16,22.57,20
21,IR-E-U-0025,National Institute of Technology Warangal,Warangal,60,16.5,24.99,16.66,15.84,73.99,19.67,20.81,3,2.22,45.7,34.03,15,16.72,9.36,75.11,15.69,14.97,4.25,20,54.91,35.77,21
22,IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,59.16,11.28,30,17.86,21.93,81.07,15.66,17.3,2,3.83,38.79,30.1,15,18.81,4.85,68.76,23.11,14.67,5.89,20,63.67,30.87,22
23,IR-E-U-0139,"Indian Institute of Technology, Gandhinagar",Gandhinagar,58.27,11.5,27.52,17.66,23.51,80.19,16.44,14.82,1.5,6.32,39.08,27.92,13.66,15.76,7.29,64.63,21,14.97,4.5,20,60.47,35.07,23
24,IR-E-U-0473,S.R.M. Institute of Science and Technology,Chennai,58.02,18.3,20.97,12.01,9.92,61.2,22.24,27.67,9,0.3,59.21,34.82,15,9.86,7.49,67.17,19.46,21.48,0.82,20,61.76,22.89,24
25,IR-E-U-0497,Amity University,Gautam Budh Nagar,57.73,14.72,30,15.97,9.26,69.95,26.46,24.11,11,0.62,62.19,25.36,15,10.16,5.15,55.67,14.31,22.51,0.51,20,57.33,12.19,25
26,IR-E-U-0108,"Jamia Millia Islamia, New Delhi",New Delhi,57.51,10.5,25.38,13.89,9.77,59.54,25.78,26.06,3,2.61,57.45,36.92,15,14.83,6.79,73.54,21.79,10.17,8.98,20,60.94,16.07,26
27,IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,57.48,17.11,30,14.79,14.04,75.94,14.54,18.54,6,0.94,40.02,35.44,15,9.86,8.42,68.72,18.32,30,1.22,20,69.54,19.95,27
28,IR-E-I-1480,Thapar Institute of Engineering and Technology,Patiala,57.18,16.51,18.09,12.19,12.73,59.52,21.68,30.1,4.5,0.69,56.97,32.98,15,14.9,8.31,71.19,14.06,19.7,0.79,20,54.55,25.33,28
29,IR-E-U-0391,Birla Institute of Technology & Science - Pilani,Pilani,56.9,17.43,18.59,12.32,12.51,60.85,19.06,23.56,3,0.66,46.28,37.75,15,19.68,5.84,78.27,21.45,12.69,0.05,20,54.19,36.91,29
30,IR-E-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,56.7,10.3,29.32,17.98,20.82,78.42,13.73,14.61,3,3.59,34.93,36.38,15,18.36,4.67,74.41,20.13,20.59,5.72,20,66.44,11.78,30
31,IR-E-U-0263,"National Institute of Technology, Calicut",Kozhikode,56.66,16.64,22.56,14.91,13.02,67.13,15.82,16.4,3,1.09,36.31,35.85,15,15.57,10.44,76.86,13.24,21.19,9.29,20,63.72,38.88,31
32,IR-E-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,56.62,14.25,22.44,14.96,14.74,66.39,18.46,18.53,9,2.87,48.86,37.27,15,15.1,8.28,75.65,13.16,16.47,3.52,20,53.15,16.07,32
33,IR-E-U-0064,"Indian Institute of Technology, Patna",Patna,56.19,10.58,25.87,16.27,18.73,71.45,22.06,21.15,2,2.57,47.78,25.09,12.02,18.81,6.47,62.39,16.78,9.47,5.22,20,51.47,27.92,33
34,IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,55.76,13.04,24.08,16.17,14.32,67.61,19.79,19.84,2,1.68,43.31,35.32,15,14.46,7.98,72.76,14.26,13.52,9.98,20,57.76,21.61,34
35,IR-E-U-0098,Delhi Technological University,New Delhi,55.65,18.07,28.91,11.74,10.25,68.97,14.83,18.54,0.5,0.9,34.77,35.94,15,17.57,5.15,73.66,14.29,19.83,2.04,20,56.16,42.38,35
36,IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,55.11,11.7,24.55,16.31,17.53,70.09,15.99,16.74,1,3.17,36.9,30.55,14.99,18.86,5.6,70,23.23,10.86,6.69,20,60.78,29.29,36
